a,eta_plus,eta_minus,lambda_plus,lambda_minus,gamma_plus,gamma_minus,rep,job,mu_exact,v_exact,mu_approx,v_approx
0.0,0.5,0.5,0.0,1.0,0.05,0.05,0,11,1.5994866900513312,1.079889314523939,1.601736089826391,1.3532680566650068
0.1,0.55,0.45,0.1,0.9,0.05,0.05,0,11,1.5854255914574409,1.0673052858638643,1.5289761471023853,1.0673579010793492
0.2,0.6,0.4,0.2,0.8,0.05,0.05,0,11,1.5777767922223207,1.123117182674965,1.5205990479400953,1.0311278010687492
0.30000000000000004,0.65,0.35,0.30000000000000004,0.7,0.05,0.05,0,11,1.5941527905847208,1.293695846769051,1.580155241984476,1.2635783351820904
0.4,0.7,0.3,0.4,0.6,0.05,0.05,0,11,1.6520452347954764,1.6629033029738838,1.7285495271450475,1.8680179466164915
0.5,0.75,0.25,0.5,0.5,0.05,0.05,0,11,1.800414569958543,2.4646480556669275,1.9722343527765647,3.003573018399869
0.6000000000000001,0.8,0.19999999999999996,0.6000000000000001,0.3999999999999999,0.05,0.05,0,11,2.0635103436489657,4.001055185740714,2.4311355568864443,5.415286571471771
0.7000000000000001,0.8500000000000001,0.14999999999999997,0.7000000000000001,0.29999999999999993,0.05,0.05,0,11,2.54582269541773,7.193435286031155,3.1154498884550113,9.952808226642036
0.8,0.9,0.09999999999999998,0.8,0.19999999999999996,0.05,0.05,0,11,3.7514855748514426,17.03123052119409,4.320348967965103,20.134917114969642
0.9,0.95,0.04999999999999999,0.9,0.09999999999999998,0.05,0.05,0,11,6.317637568236243,47.34822133033347,6.162755383724462,42.250393457380426
1.0,1.0,0.0,1.0,0.0,0.05,0.05,0,11,9.97397540260246,115.87749793251281,10.433253256674673,124.18834557797544
